,state,date,knn,mdp,rmdp,bilstm,agg,deaths
294,New Jersey,2020-09-18,16004.0,16478.0,16322.641747025502,16921.0,16023.999999999927,16061
295,New Jersey,2020-09-25,15985.0,16673.0,16436.072165691778,17377.0,16013.235294117601,16097
296,New Jersey,2020-09-17,16001.0,16432.0,16307.043955996058,16816.0,16019.823529411697,16057
297,New Jersey,2020-09-10,15957.0,16207.0,16196.881120504715,16255.0,15967.588235294112,16014
298,New Jersey,2020-09-08,15942.0,16148.0,16165.457705935583,16252.0,15950.235294117663,15996
299,New Jersey,2020-09-09,15951.0,16162.0,16181.132378005077,16253.0,15960.411764705885,16008
300,New Jersey,2020-09-26,15946.0,16687.0,16452.22983618323,17424.0,15975.411764705892,16103
301,New Jersey,2020-09-01,15953.0,15959.0,16060.175063916837,15992.0,15953.0,15950
302,New Jersey,2020-09-11,15958.0,16253.0,16212.704771653729,16352.0,15969.764705882346,16023
303,New Jersey,2020-09-05,15976.0,16076.0,16120.790988236613,16156.0,15980.705882352908,15985
304,New Jersey,2020-09-19,16006.0,16492.0,16338.304465919533,16980.0,16027.17647058816,16064
305,New Jersey,2020-09-15,15985.0,16340.0,16274.599698948658,16678.0,16001.470588235248,16043
306,New Jersey,2020-09-03,15960.0,15986.0,16090.03761086468,15998.0,15962.352941176461,15971
307,New Jersey,2020-09-21,16013.0,16519.0,16370.592694233708,17154.0,16036.52941176462,16069
308,New Jersey,2020-09-07,15940.0,16135.0,16150.51107377351,16247.0,15947.05882352943,15991
309,New Jersey,2020-09-02,15957.0,15972.0,16074.765705301512,15997.0,15958.176470588229,15964
310,New Jersey,2020-09-16,15994.0,16386.0,16290.781932242982,16731.0,16011.647058823472,16054
311,New Jersey,2020-09-24,15985.0,16659.0,16419.98437246159,17192.0,16012.058823529367,16091
312,Kentucky,2020-09-06,977.0,961.0,980.7968213722526,940.0,983.9207311378897,996
313,Kentucky,2020-09-22,1100.0,1016.0,1118.566503818262,980.0,1131.6869248339262,1119
314,Kentucky,2020-09-04,961.0,950.0,964.6752449375165,938.0,966.549590796899,987
315,Kentucky,2020-09-20,1084.0,1009.0,1100.3919967225156,974.0,1112.2628538319277,1111
316,Kentucky,2020-09-23,1109.0,1019.0,1127.8065834824847,985.0,1141.5517864512751,1124
317,Kentucky,2020-09-13,1029.0,985.0,1038.8680577417042,957.0,1046.3654411792309,1060
318,Kentucky,2020-09-12,1022.0,981.0,1030.288628659898,954.0,1037.1612301442979,1057
319,Kentucky,2020-09-14,1037.0,988.0,1047.542571555408,959.0,1055.664736946061,1065
320,Kentucky,2020-09-18,1068.0,1002.0,1082.0749789280533,969.0,1092.6962721312132,1101
321,Kentucky,2020-09-25,1125.0,1026.0,1146.8160074680077,990.0,1161.8107743430494,1149
322,Kentucky,2020-09-17,1060.0,998.0,1073.070931542282,965.0,1083.067442792316,1093
323,Kentucky,2020-09-10,1007.0,974.0,1013.5432835609735,947.0,1019.1663211391194,1035
324,Kentucky,2020-09-08,992.0,968.0,997.2902208199542,944.0,1001.6636944918456,997
325,Kentucky,2020-09-09,999.0,971.0,1005.3727984458935,945.0,1010.3710540709122,1013
326,Kentucky,2020-09-26,1133.0,1030.0,1156.4825704103864,994.0,1172.1021192385538,1154
327,Kentucky,2020-09-01,940.0,937.0,940.9117338652907,933.0,940.9117338652907,948
328,Kentucky,2020-09-11,1014.0,978.0,1021.8029405111064,952.0,1028.0507600423794,1044
329,Kentucky,2020-09-05,969.0,955.0,972.6858961932812,939.0,975.1850240057911,993
