state,date,cases,Population,deaths,EmergDec_x,EmergDec_y,SchoolClose,GathRestrict25,GathRestrictAny,OtherBusinessClose,RestaurantRestrict,GathRestrict10,CaseIsolation,StayAtHome,PublicMask,Quarantine,NEBusinessClose,TravelRestrictIntra,GathRestrict50,BusinessHealthSafety,GathRestrict250,GathRecomAny,GathRestrict1000,TravelRestrictExit,TravelRestrictEntry,GathRestrict100,GathRestrict5,GathRestrict500,sub_region_1,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,mobility_score
Northern Mariana Islands,2020-01-31,0,55144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2939.0
Illinois,2020-03-31,5994,12671821,99,104,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Illinois,-44.0,-15.0,-30.0,-54.0,-52.0,22.0,5251.0
Oregon,2020-03-06,3,4217737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oregon,1.0,2.0,-3.0,-1.0,1.0,1.0,6296.0
Nebraska,2020-02-22,0,1934408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,11.0,6.0,73.0,8.0,0.0,-2.0,7016.0
Virginia,2020-04-15,6500,8535519,195,135,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Virginia,-33.0,-12.0,1.0,-49.0,-50.0,21.0,5453.0
Arkansas,2020-04-13,1410,3017804,29,77,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Arkansas,-26.0,-8.0,-9.0,-22.0,-39.0,12.0,6801.0
Louisiana,2020-03-20,537,4648794,14,66,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Louisiana,-32.0,8.0,-16.0,-33.0,-29.0,15.0,7046.0
Utah,2020-03-21,118,3205958,0,37,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Utah,-40.0,-1.0,48.0,-28.0,-20.0,10.0,5676.0
Kansas,2020-03-30,372,2913314,8,107,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Kansas,-41.0,-19.0,42.0,-26.0,-42.0,17.0,4983.0
Massachusetts,2020-03-14,138,6892503,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Massachusetts,-11.0,16.0,61.0,-19.0,-4.0,4.0,4941.0
