,state,date,GrowthRate
396,Massachusetts,2020-09-23,0.004243215153669988
397,Massachusetts,2020-09-24,0.003742841135458086
398,Massachusetts,2020-09-25,0.003783151023698972
399,Massachusetts,2020-09-26,0.004394467141897174
400,Massachusetts,2020-09-27,0.004552095347943208
401,Massachusetts,2020-09-28,0.0032914376693560232
402,Massachusetts,2020-09-29,0.00390625
403,Massachusetts,2020-09-30,0.004043044747081614
404,Massachusetts,2020-10-01,0.005707105876653795
405,Massachusetts,2020-10-02,0.00572740272446759
406,Massachusetts,2020-10-03,0.0050287732636888904
407,Massachusetts,2020-10-04,0.004795127435723634
408,Massachusetts,2020-10-05,0.0038163130710575643
409,Massachusetts,2020-10-06,0.0036541613146121588
410,Massachusetts,2020-10-07,0.003935067705230333
411,Massachusetts,2020-10-08,0.0032529379011223547
577,New Hampshire,2020-09-09,0.0
578,New Hampshire,2020-09-10,0.010541766746730685
579,New Hampshire,2020-09-11,0.006206259078304521
580,New Hampshire,2020-09-12,0.004199475065616909
581,New Hampshire,2020-09-13,0.005750130684788246
582,New Hampshire,2020-09-14,0.0023388773388772766
583,New Hampshire,2020-09-15,0.004666839512574628
584,New Hampshire,2020-09-16,0.0040000000000000036
585,New Hampshire,2020-09-17,0.0
586,New Hampshire,2020-09-18,0.01028145482585785
587,New Hampshire,2020-09-19,0.007505406436840056
588,New Hampshire,2020-09-20,0.003409090909090917
589,New Hampshire,2020-09-21,0.0006291682395873632
590,New Hampshire,2020-09-22,0.004778672032193176
591,New Hampshire,2020-09-23,0.0021276595744681437
592,New Hampshire,2020-09-24,0.0046209566629198395
593,New Hampshire,2020-09-25,0.00509696668324211
594,New Hampshire,2020-09-26,0.0044526901669759145
595,New Hampshire,2020-09-27,0.006280014776505416
596,New Hampshire,2020-09-28,0.004405286343612369
597,New Hampshire,2020-09-29,0.003045808966861685
598,New Hampshire,2020-09-30,0.004008259443702089
599,New Hampshire,2020-10-01,0.00616985240745227
600,New Hampshire,2020-10-02,0.02609113863171819
601,New Hampshire,2020-10-03,0.007382235762831035
602,New Hampshire,2020-10-04,0.005583343026637211
603,New Hampshire,2020-10-05,0.0
604,New Hampshire,2020-10-06,0.009947946790052065
605,New Hampshire,2020-10-07,0.0
606,New Hampshire,2020-10-08,0.016836559386095518
784,New Jersey,2020-09-09,0.0016797916441924077
785,New Jersey,2020-09-10,0.0021539124280747224
786,New Jersey,2020-09-11,0.0024256194540821507
787,New Jersey,2020-09-12,0.0022921261128807657
788,New Jersey,2020-09-13,0.0015127051956584925
789,New Jersey,2020-09-14,0.0016985872229624555
790,New Jersey,2020-09-15,0.002213557532187993
791,New Jersey,2020-09-16,0.0019655123503070637
792,New Jersey,2020-09-17,0.0028767594240413086
793,New Jersey,2020-09-18,0.0024551197059905494
794,New Jersey,2020-09-19,0.0023183537174122915
795,New Jersey,2020-09-20,0.0022728527060995596
796,New Jersey,2020-09-21,0.001962335178862906
797,New Jersey,2020-09-22,0.002128361161905401
798,New Jersey,2020-09-23,0.0020341011067903647
799,New Jersey,2020-09-24,0.0011343960833483102
800,New Jersey,2020-09-25,0.004393288804071194
801,New Jersey,2020-09-26,0.00371103414151408
802,New Jersey,2020-09-27,0.003440966231205378
803,New Jersey,2020-09-28,0.002746280975494786
804,New Jersey,2020-09-29,0.0022341222985982068
805,New Jersey,2020-09-30,0.0034805903315848763
806,New Jersey,2020-10-01,0.0029911094872732136
807,New Jersey,2020-10-02,0.0035941696739505424
808,New Jersey,2020-10-03,0.0045830933702433185
809,New Jersey,2020-10-04,0.0030157629012987908
810,New Jersey,2020-10-05,0.0024543472204878736
811,New Jersey,2020-10-06,0.003013707818870781
812,New Jersey,2020-10-07,0.0024266511259087853
813,New Jersey,2020-10-08,0.006185370502740151
