,state,date,cases,deaths,population,emergdec,schoolclose,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict100,gathrestrict1000,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate
6897,Pennsylvania,2020-05-04,52816,2838,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-31.0,-11.0,29.0,-48.0,-47.0,17.0,0.0,49978.0,419.5909639541523,245590.0,,5.373371705543773,1951.0630270656668,
6898,Pennsylvania,2020-05-05,53864,3179,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-30.0,-7.0,20.0,-47.0,-47.0,18.0,,50685.0,427.9166858987136,250882.0,,5.9019010842120885,1993.1047451292345,
6899,Pennsylvania,2020-05-06,54800,3345,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-37.0,-11.0,-22.0,-50.0,-48.0,20.0,,51455.0,435.35263603240577,256340.0,,6.104014598540147,2036.4652321267686,
6900,Pennsylvania,2020-05-07,55956,3589,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-32.0,-6.0,57.0,-44.0,-47.0,18.0,,52367.0,444.5363522231624,262788.0,,6.4139681178068475,2087.6906663810923,
6901,Pennsylvania,2020-05-08,57371,3715,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-40.0,-12.0,-23.0,-49.0,-46.0,21.0,,53656.0,455.7776657265539,270559.0,,6.475396977567064,2149.4265301513087,
6902,Pennsylvania,2020-05-09,58560,3779,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-37.0,0.0,-8.0,-40.0,-29.0,12.0,,54781.0,465.2235468258701,277107.0,,6.453210382513661,2201.44640352248,
6903,Pennsylvania,2020-05-10,59939,3806,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-30.0,-5.0,80.0,-38.0,-27.0,7.0,,56133.0,476.1788622471966,284383.0,,6.349788952101302,2259.2497936643003,
6904,Pennsylvania,2020-05-11,60459,3832,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-38.0,-17.0,-15.0,-49.0,-45.0,18.0,,56627.0,480.3099456548034,288858.0,,6.338179592781884,2294.8009441432237,
6905,Pennsylvania,2020-05-12,61310,3914,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-31.0,-8.0,26.0,-44.0,-45.0,17.0,,57396.0,487.0706225391752,295980.0,,6.3839504159191,2351.3808980451,
6906,Pennsylvania,2020-05-13,62101,4094,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-29.0,-6.0,67.0,-41.0,-45.0,16.0,,58007.0,493.35463595343856,302869.0,,6.592486433390768,2406.109808804721,
6907,Pennsylvania,2020-05-14,63105,4288,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-31.0,-7.0,44.0,-43.0,-45.0,17.0,,58817.0,492.93121561032433,311195.0,,6.795024166072419,2430.833208808413,
6908,Pennsylvania,2020-05-15,64136,4422,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-33.0,-9.0,61.0,-46.0,-44.0,18.0,,59714.0,500.98465168185976,319832.0,,6.894723712111762,2498.2992877122447,
