,Unnamed: 0,state,date,cases,deaths,population,emergdec,schoolclose,barrestrict,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict100,gathrestrict1000,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,cases_nom,deaths_nom,cases_pct2,cases_pct5,cases_pct10,deaths_pct2,deaths_pct5,residential_pct10
7609,7609,Rhode Island,2020-04-25,7129,215,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-38.0,-16.0,139.0,-51.0,-35.0,12.0,410.0,6914.0,672.9528461025088,50891.0,576.0,3.0158507504558845,4803.93369210307,8.079674568663206,0.00672952846102509,0.0002029525345939675,0.13954603580562663,0.4005893909626719,1.1928637342356199,0.13756613756613767,0.3870967741935485,-0.4285714285714286
7610,7610,Rhode Island,2020-04-26,7439,226,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-48.0,-28.0,-44.0,-67.0,-38.0,13.0,433.0,7213.0,702.2157696951276,53403.0,691.0,3.0380427476811405,5041.057769730998,9.28888291437021,0.0070221576969512756,0.00021333615264296118,0.1104642483952829,0.3525454545454545,1.1079625956361574,0.11881188118811892,0.32163742690058483,-0.40909090909090906
7611,7611,Rhode Island,2020-04-27,7708,233,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-41.0,-24.0,-33.0,-69.0,-49.0,21.0,452.0,7475.0,727.6084356513029,55885.0,718.0,3.02283341982356,5275.3499515273825,9.314997405293203,0.00727608435651303,0.0002199439095832299,0.08121756207041653,0.3196370484506077,0.8453435480009577,0.08372093023255811,0.28729281767955794,-0.08695652173913049
7612,7612,Rhode Island,2020-04-28,7927,239,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-32.0,-14.0,35.0,-61.0,-49.0,15.0,466.0,7688.0,748.2812752215723,57693.0,732.0,3.01501198435726,5446.018873641751,9.234262646650688,0.007482812752215722,0.00022560770124631734,0.06560021508267244,0.2671035805626598,0.7650857270095748,0.05752212389380529,0.26455026455026465,-0.11764705882352944
7613,7613,Rhode Island,2020-04-29,8247,251,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-31.0,-15.0,55.0,-59.0,-50.0,19.0,391.0,7996.0,778.488164091372,60165.0,750.0,3.043530980962774,5679.367090160956,9.094216078574027,0.007784881640913721,0.00023693528457249227,0.0699273482096523,0.23107926556202418,0.7524436889077772,0.07725321888412018,0.24257425742574257,0.7272727272727273
7614,7614,Rhode Island,2020-04-30,8621,266,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-39.0,-15.0,-17.0,-62.0,-50.0,22.0,461.0,7894.0,813.7924654579506,63710.0,896.0,3.0854889223987936,6014.002780921706,10.393225843869619,0.008137924654579506,0.00025109476373021095,0.08754888356250778,0.20928601486884557,0.693713163064833,0.11297071129707104,0.23720930232558146,0.10000000000000009
7615,7615,Rhode Island,2020-05-01,8962,279,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-35.0,-10.0,23.0,-58.0,-48.0,23.0,485.0,8198.0,845.9816814098309,66648.0,937.0,3.1131443874135236,6291.339779357556,10.455255523320687,0.00845981681409831,0.0002633663123335671,0.0866981932824058,0.2047318187928484,0.6294545454545455,0.11155378486055767,0.23451327433628322,0.0
7616,7616,Rhode Island,2020-05-02,9289,296,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-33.0,-8.0,140.0,-41.0,-32.0,11.0,531.0,8462.0,876.8493459736577,69928.0,977.0,3.1865647540101194,6600.960390273004,10.517816772526645,0.008768493459736577,0.00027941372204564826,0.07748521053242086,0.20511157239231959,0.5903098784454717,0.11278195488721798,0.2703862660944205,-0.47619047619047616
7617,7617,Rhode Island,2020-05-03,9477,320,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-27.0,-12.0,100.0,-41.0,-29.0,8.0,565.0,8592.0,894.5958931846651,71927.0,1013.0,3.376595969188562,6789.659049181534,10.68903661496254,0.00894595893184665,0.0003020688886979981,0.057464851595625976,0.1955342500315378,0.5148657289002558,0.1469534050179211,0.33891213389121333,-0.6190476190476191
7618,7618,Rhode Island,2020-05-04,9652,341,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-26.0,-12.0,56.0,-57.0,-47.0,18.0,601.0,8710.0,911.1152855353367,74136.0,1061.0,3.53294653957729,6998.180978910872,10.992540406133445,0.009111152855353369,0.00032189215951880425,0.03907847992248903,0.17036498120528676,0.4408120615017166,0.15202702702702697,0.35856573705179273,-0.3076923076923077
7619,7619,Rhode Island,2020-05-05,9933,355,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-23.0,-5.0,67.0,-54.0,-47.0,18.0,639.0,8939.0,937.6407098241301,76435.0,1092.0,3.5739454344105512,7215.19859613484,10.993657505285412,0.009376407098241299,0.0003351076733993417,0.048116492560936974,0.1521865212852338,0.3933230467106186,0.109375,0.33458646616541343,0.5
7620,7620,Rhode Island,2020-05-06,10205,370,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-30.0,-11.0,24.0,-57.0,-48.0,19.0,665.0,9170.0,963.3165653634596,79373.0,1123.0,3.625673689367957,7492.535594570691,11.004409603135716,0.009633165653634597,0.00034926715255706036,0.05729382511396608,0.13869671948225837,0.3718241699153111,0.08504398826979465,0.3261648745519714,0.46153846153846145
7621,7621,Rhode Island,2020-05-07,10530,388,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-30.0,-8.0,71.0,-56.0,-47.0,19.0,696.0,9446.0,993.99543687185,82318.0,1153.0,3.684710351377018,7770.533368700567,10.949667616334283,0.009939954368718501,0.0003662585275463227,0.06010268800966467,0.1335988803961674,0.3661131292163986,0.09295774647887334,0.31081081081081074,-0.09523809523809523
7622,7622,Rhode Island,2020-05-08,10779,399,1059361.0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,-35.0,-10.0,7.0,-56.0,-46.0,21.0,730.0,9650.0,1017.5001722736632,85266.0,1187.0,3.701642081825773,8048.814332413596,11.012153260970406,0.01017500172273663,0.0003766421455953164,0.0562469377756003,0.13738524849635958,0.3597830200580294,0.07837837837837847,0.24687499999999996,0.3999999999999999
7623,7623,Rhode Island,2020-05-09,10989,418,1059361.0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,-35.0,2.0,16.0,-54.0,-32.0,12.0,772.0,9799.0,1037.3234430944692,87815.0,1218.0,3.803803803803804,8289.431081567096,11.083811083811083,0.010373234430944692,0.00039457748586176007,0.04358974358974366,0.13852051388313313,0.33248453983266635,0.07731958762886593,0.22580645161290325,-0.368421052631579
7624,7624,Rhode Island,2020-05-10,11274,422,1059361.0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,-26.0,-6.0,53.0,-47.0,-26.0,8.0,809.0,10043.0,1064.2264534941346,91213.0,1251.0,3.7431257761220498,8610.190482753282,11.096327833954227,0.010642264534941347,0.00039835334697048506,0.04592262733092123,0.13500453035336757,0.307736921470827,0.057644110275689275,0.18873239436619715,-0.6363636363636364
7625,7625,Rhode Island,2020-05-11,11450,430,1059361.0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,-33.0,-19.0,23.0,-58.0,-45.0,18.0,841.0,10179.0,1080.8402423725245,93332.0,1280.0,3.755458515283842,8810.216724987988,11.179039301310043,0.010808402423725246,0.000405905069187935,0.041951041951042045,0.12199902008819197,0.2776166034367329,0.028708133971291794,0.16216216216216206,-0.21739130434782605
7626,7626,Rhode Island,2020-05-12,11614,444,1059361.0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,-26.0,-8.0,72.0,-53.0,-45.0,17.0,863.0,10307.0,1096.321272918297,95239.0,1307.0,3.822972274840709,8990.230903346452,11.253659376614433,0.01096321272918297,0.0004191205830684724,0.0301578854000355,0.10294396961063623,0.2502960490903219,0.05213270142180093,0.14432989690721643,0.5454545454545454
7627,7627,Rhode Island,2020-05-13,11835,462,1059361.0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,-25.0,-9.0,77.0,-51.0,-45.0,17.0,886.0,10487.0,1117.1829055440028,97922.0,1328.0,3.903675538656527,9243.49678721418,11.22095479509928,0.011171829055440025,0.0004361119580577348,0.033624454148471594,0.09796827163929867,0.24881291547958218,0.07441860465116279,0.1578947368421053,1.125
