,unnamed: 0,state,county,fips,date,cases,population,deaths,emergdec,schoolclose,barrestrict,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict500,gathrestrict5,gathrestrict100,gathrestrict1000,gathrestrict3,travelrestrictexit,travelrestrictentry,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,cases_nom,deaths_nom,cases_pct3,cases_pct5,sir,knn,mdp,agg,sir_low,sir_high,sir_sample,knn_low,knn_high,knn_sample,mdp_low,mdp_high,mdp_sample,agg_low,agg_high,agg_sample
2052,507479,Massachusetts,Suffolk,25025.0,2020-06-27,19764,803907,1004,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-45.0,-17.0,38.0,-57.0,-26.0,7.0,,100403.0,1573.3471570487534,826342.0,11310.0,7.4140331787206195,11988.997320712086,10.429442195439078,0.024584933331840624,0.0012489006812977125,0.006928877114326547,0.010067971584811096,17189.061730219888,19874.0,19910.0,19512.935601833575,13902.13280320122,15112.583088386244,14660.740302028451,19894.060967401903,20149.970592092457,20054.443399203006,19959.528618694203,20238.893700136683,20134.610939948194,19190.322488622973,19343.893231018512,19286.56759526435
2053,510703,Massachusetts,Suffolk,25025.0,2020-06-28,19795,803907,1004,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-48.0,-29.0,1.0,-63.0,-23.0,8.0,,100608.0,1576.5970649559383,835794.0,11319.0,7.416234919524786,12126.13182758136,10.416225717099028,0.02462349500626316,0.0012489006812977125,0.0066619202603743774,0.009897454211519774,17189.072446758826,19915.0,19952.0,19543.542676262372,13902.141470500801,15112.59251034235,14660.749442282688,19935.102353115068,20191.539918563012,20095.815653372643,20001.633098954633,20281.587499001864,20177.08475509022,19220.423527272775,19374.235153522928,19316.81959946862
2054,513927,Massachusetts,Suffolk,25025.0,2020-06-29,19795,803907,1007,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-42.0,-21.0,-6.0,-67.0,-53.0,19.0,,100674.0,1578.0624252176606,842287.0,11345.0,7.44152691968226,12220.335631337412,10.430457487496325,0.02462349500626316,0.0012526324562418287,0.004465418379256071,0.0085082535153862,17189.081418053487,19957.0,19995.0,19574.8893597303,13902.148726285424,15112.600397883747,14660.757093998836,19977.144748235874,20234.123131045042,20138.19698691227,20044.740066840313,20325.297816887643,20220.56985154516,19251.25194678756,19405.310277764773,19347.80263256666
2055,517151,Massachusetts,Suffolk,25025.0,2020-06-30,19819,803907,1002,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-40.0,-19.0,-1.0,-68.0,-53.0,19.0,,100829.0,1579.7163962061386,848141.0,11337.0,7.3960801601733985,12305.268492447518,10.412189342591065,0.02465334920581609,0.0012464128313349678,0.002782837482291134,0.007882424735557336,17189.0889061436,19998.0,20038.0,19605.755687678804,13902.154782487027,15112.606981395154,14660.763480673468,20018.186133949042,20275.692457515597,20179.569241081903,20087.84703472599,20369.008134773423,20264.054948000095,19281.607952642247,19435.90920785161,19378.31088271127
2056,520375,Massachusetts,Suffolk,25025.0,2020-07-01,19853,803907,1004,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-37.0,-13.0,19.0,-64.0,-53.0,17.0,,100829.0,1579.7163962061386,858435.0,11352.0,7.3960801601733985,12454.619171003626,10.425965724362154,0.024695642655182752,0.0012489006812977125,0.002930032836574892,0.007408535038311293,17189.09517477368,20040.0,20081.0,19637.10161723596,13902.159852416336,15112.61249276014,14660.76882725719,20060.228529069846,20318.275669997627,20221.95057462153,20130.954002611667,20412.718452659203,20307.54004445503,19312.43563071089,19466.983584713886,19409.2931706446
2057,523599,Massachusetts,Suffolk,25025.0,2020-07-02,19892,803907,1008,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-32.0,-6.0,66.0,-61.0,-53.0,15.0,,101206.0,1586.3322801600518,866258.0,11392.0,7.437487424317255,12568.119302958592,10.419067478827124,0.02474415572945627,0.0012538763812232011,0.004900227330133955,0.006476421776968167,17189.10039522592,20082.0,20124.0,19668.44725440294,13902.1640746026,15112.617082569606,14660.773279838473,20102.270924190652,20360.858882479657,20264.331908161155,20174.060970497347,20456.428770544982,20351.025140909966,19343.26302122353,19498.057671718987,19440.275169579745
2058,526823,Massachusetts,Suffolk,25025.0,2020-07-03,19936,803907,1009,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-38.0,-7.0,16.0,-66.0,-63.0,19.0,,101479.0,1590.539750218462,877780.0,11436.0,7.433319954756082,12735.286440934447,10.431641551428466,0.024798888428636645,0.0012551203062045734,0.005903426005348322,0.007123010861328716,17189.10476872645,20124.0,20167.0,19699.79265531196,13902.167611793062,15112.6209277411,14660.777010045305,20144.313319311455,20403.442094961687,20306.71324170078,20217.167938383023,20500.139088430762,20394.510237364902,19374.090179384333,19529.131524512854,19471.256934997742
2059,530047,Massachusetts,Suffolk,25025.0,2020-07-04,19972,803907,1008,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-51.0,-21.0,97.0,-58.0,-37.0,6.0,93157.0,8509.0,1593.5865388814484,885767.0,11461.0,7.4400480707951715,12851.165969750027,10.43445801999308,0.024843669727966047,0.0012538763812232011,0.005994056313907148,0.008941651932306227,17189.1084546132,20165.0,20210.0,19730.657922632334,13902.170592856712,15112.624168364155,14660.78015377876,20185.354705024623,20445.011421432242,20348.085495870415,20260.274906268703,20543.84940631654,20437.995333819836,19404.445142146567,19559.72940315988,19501.764136818485
2060,533271,Massachusetts,Suffolk,25025.0,2020-07-05,19985,803907,1007,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-42.0,-25.0,63.0,-57.0,-25.0,4.0,93157.0,8634.0,1595.5596972536682,891685.0,11463.0,7.440849655373088,12937.027375976477,10.423372797206612,0.024859840752723884,0.0012526324562418287,0.004675246330182903,0.008375800999041337,17189.11152598742,20207.0,20253.0,19762.00296031202,13902.173076916224,15112.626868709225,14660.782773387702,20227.39710014543,20487.594633914272,20390.46682941004,20303.38187415438,20587.55972420232,20481.480430274773,19435.27194308341,19590.8028958711,19532.745543220943
2061,536495,Massachusetts,Suffolk,25025.0,2020-07-06,20014,803907,1008,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,-35.0,-14.0,50.0,-63.0,-55.0,16.0,93157.0,8782.0,1597.9245855968436,899417.0,11469.0,7.443456785639702,13049.20723284415,10.413394227189773,0.02489591457718368,0.0012538763812232011,0.003912520064205394,0.00810960560116869,17189.11410443962,20250.0,20296.0,19793.827802268814,13902.175162311312,15112.629135678402,14660.784972578018,20270.440504673872,20531.19173240778,20433.85724231966,20346.48884204006,20631.2700420881,20524.96552672971,19466.570615551893,19622.352036270477,19564.201187729428
